Sponsor,Composite Ticker,Composite Name,Constituent Ticker,Constituent Name,Weighting,Identifier,Date,Location,Exchange,Total Shares Held,Notional Value,Market Value,Sponsor Sector,Last Trade,Currency,BloombergSymbol,BloombergExchange,BloombergSector,BloombergIndustryGroup,Coupon,Maturity,Rating,Type,SharesOutstanding,MarketCap,Earnings,PE Ratio,Face,eSignalTicker,TimeZone,DividendAmt,LastDividendDate,DividendYield,FutVal,Sector,IndustryGroup,Industry,SubIndustry,CUSIP,ISIN,SEDOL
First Trust,BICK,First Trust BICK Index Fund ETF,'INFY,Infosys Ltd,0.0256,'INFY,3/14/13,United States,New York,,,,Information Technology,53.22,USD,INFY:US,New York,Technology,Computer Services,,,,Global Equity ETF,574.24,30991.53,145.8261,20.3647,,INFY,-5,0.2556,10/16/12,1.02,,,,,,'456788108,'US4567881085,'2398822
First Trust,BICK,First Trust BICK Index Fund ETF,'WIT,Wipro Ltd,0.0237,'WIT,3/14/13,United States,New York,,,,Information Technology,9.96,USD,WIT:US,New York,Technology,Computer Services,,,,Global Equity ETF,2462.82,23766.2,0,0,,WIT,-5,0.0374,1/23/13,0.77,,,,,,'97651M109,'US97651M1099,'2646123
First Trust,BICK,First Trust BICK Index Fund ETF,'TTM,Tata Motors Ltd,0.0215,'TTM,3/14/13,United States,New York,,,,Consumer Discretionary,26.91,USD,TTM:US,New York,Consumer Cyclical,Auto-Cars/Light Trucks,,,,Global Equity ETF,533.11,14249.93,0,0,,TTM,-5,0.334,7/16/12,1.32,,,,,,'876568502,'US8765685024,'B02ZP96
First Trust,BICK,First Trust BICK Index Fund ETF,'RIGD.LI,Reliance Industries Ltd,0.0211,'RIGDLI,3/14/13,England,London Intl,,,,Energy,,USD,RIGD:LI,London Intl,Energy,Oil Refining&Marketing,,,,Global Equity ETF,1614.24,47781.43,0,0,,,0,0.2942,5/29/12,1.03,,,,,,'759470107,'US7594701077,'B01DPW4
First Trust,BICK,First Trust BICK Index Fund ETF,'AXB.LI,Axis Bank Ltd,0.0209,'AXBLI,3/14/13,England,London Intl,,,,Financials,24.18,USD,AXB:LI,London Intl,Financial,Commer Banks Non-US,,,,Global Equity ETF,466.99,11651.49,0,0,,AXB-LSIN,0,0.27,6/12/12,1.16,,,,,,'05462W109,'US05462W1099,'B06CDW2
First Trust,BICK,First Trust BICK Index Fund ETF,'SBID.LI,State Bank of India,0.0209,'SBIDLI,3/14/13,England,London Intl,,,,Financials,87.3,USD,SBID:LI,London Intl,Financial,Commer Banks Non-US,,,,Global Equity ETF,335.52,27579.96,0,0,,SBID-LSIN,0,1.2278,5/23/12,1.52,,,,,,'856552203,'US8565522039,'5131091
First Trust,BICK,First Trust BICK Index Fund ETF,'IBN,ICICI Bank Ltd,0.0206,'IBN,3/14/13,United States,New York,,,,Financials,41.48,USD,IBN:US,New York,Financial,Commer Banks Non-US,,,,Global Equity ETF,574.99,24023.05,0,0,,IBN,-5,0.5742,5/30/12,1.37,,,,,,'45104G104,'US45104G1040,'2569286
First Trust,BICK,First Trust BICK Index Fund ETF,'RDY,Dr Reddy's Laboratories Ltd,0.0202,'RDY,3/14/13,United States,New York,,,,Health Care,33.07,USD,RDY:US,New York,Consumer Non-cyclical,Medical-Drugs,,,,Global Equity ETF,169.76,5437.55,0,0,,RDY,-5,0.2276,6/27/12,0.77,,,,,,'256135203,,
First Trust,BICK,First Trust BICK Index Fund ETF,'MHID.LI,Mahindra & Mahindra Ltd,0.0197,'MHIDLI,3/14/13,England,London Intl,,,,Consumer Discretionary,16.67,USD,MHID:LI,London Intl,Consumer Cyclical,Auto-Med&Heavy Duty Trks,,,,Global Equity ETF,613.98,10198.22,0,0,,MHID-LSIN,0,0.2053,7/10/12,1.36,,,,,,'Y54164119,'USY541641194,'B163GT0
First Trust,BICK,First Trust BICK Index Fund ETF,'HDB,HDFC Bank Ltd,0.0194,'HDB,3/14/13,United States,New York,,,,Financials,38.51,USD,HDB:US,New York,Financial,Commer Banks Non-US,,,,Global Equity ETF,790.68,30164.33,0,0,,HDB,-5,0.2138,6/26/12,0.61,,,,,,'40415F101,'US40415F1012,'2781648
